metric,value,period,data_source,note
total_clicks,[number or NEED_GSC_ACCESS],[Last 28 days|Last 90 days],[Google Search Console],[Requires GSC owner to grant access]
total_impressions,[number or NEED_GSC_ACCESS],[Last 28 days],[Google Search Console],[]
average_ctr,[pct% or NEED_GSC_ACCESS],[Last 28 days],[Google Search Console],[Benchmark: 3%+ is good]
average_position,[number or NEED_GSC_ACCESS],[Last 28 days],[Google Search Console],[Target: <20 for pillar KWs]
indexed_pages,[number or NEED_GSC_ACCESS],[Current],[Google Search Console],[Compare with sitemap count]
coverage_errors,[number or NEED_GSC_ACCESS],[Current],[Google Search Console],[Check noindex/404]
mobile_usability_issues,[number],[Current],[Manual audit + GSC],[]
manual_actions,[None detected|CHECK_REQUIRED],[Current],[Google Search Console],[URGENT if any]
top_query_1,[keyword],[Last 28 days],[GSC or Estimated],[]
top_query_2,[keyword],[Last 28 days],[GSC or Estimated],[]
top_query_3,[keyword],[Last 28 days],[GSC or Estimated],[]
sitemap_submitted,[Yes|No],[Current],[Manual check],[]
sitemap_errors,[number or NEED_GSC_ACCESS],[Current],[Google Search Console],[]
gsc_access_status,[Granted|NOT PROVIDED],[Audit date],[Audit notes],[If not granted: GSC → Settings → Users & Permissions → Add user → Full]
